逃げる;ニゲル
格好;カッコウ
自由;ジユウ
全然;ゼンゼン
構う;カマウ
壁;カベ
運ぶ;ハコブ
運動;ウンドウ
眠る;ネムル
裏;ウラ
正しい;タダシイ
キロ;キロ
反対;ハンタイ
寺;ジ
是非;ゼヒ
あんな;アンナ
都合;ツゴウ
以下;イカ
決して;ケッシテ
番組;バングミ
焼く;ヤク
美しい;ウツクシイ
慣れる;ナレル
島;トウ
用意;ヨウイ
挨拶;アイサツ
約束;ヤクソク
迎える;ムカエル
直す;ナオス
通う;カヨウ
い;イ
答え;コタエ
チェック;チェック
石;イシ
厳しい;キビシイ
別れる;ワカレル
びっくり;ビックリ
寂しい;サビシイ
漸と;ヤット
味;ミ
仰る;オッシャル
残念;ザンネン
負ける;マケル
下げる;サゲル
値段;ネダン
会話;カイワ
空気;クウキ
包む;ツツム
字;ジ
恥ずかしい;ハズカシイ
放送;ホウソウ
勝つ;カツ
申す;モウス
亡くなる;ナクナル
ガラス;ガラス
特別;トクベツ
喧嘩;ケンカ
近所;キンジョ
失敗;シッパイ
随分;ズイブン
専門;センモン
研究;ケンキュウ
世話;セワ
具合;グアイ
集まる;アツマル
急ぐ;イソグ
表;ヒョウ
足りる;タリル
どんどん;ドンドン
すっかり;スッカリ
将来;ショウライ
悲しい;カナシイ
背中;セナカ
準備;ジュンビ
とく;トク
空く;スク
社長;シャチョウ
下がる;サガル
偶に;タマニ
先輩;センパイ
御陰;オカゲ
大抵;タイテイ
珍しい;メズラシイ
住所;ジュウショ
両方;リョウホウ
都;ト
森;モリ
失礼;シツレイ
参る;マイル
安全;アンゼン
趣味;シュミ
熱;ネツ
真面目;マジメ
遅れる;オクレル
集める;アツメル
卒業;ソツギョウ
布団;フトン
育てる;ソダテル
案内;アンナイ
喉;ノド
鳴る;ナル
湯;ユ
機会;キカイ
塗る;ヌル
戦争;センソウ
計画;ケイカク
倍;バイ
そろそろ;ソロソロ
倒れる;タオレル
試験;シケン
赤ちゃん;アカチャン
区;ク
触る;サワル
適当;テキトウ
帰り;カエリ
億;オク
邪魔;ジャマ
光る;ヒカル
鏡;キョウ
壊れる;コワレル
成る程;ナルホド
楽しみ;タノシミ
技術;ギジュツ
承知;ショウチ
虫;ムシ
製;セイ
痩せる;ヤセル
細かい;コマカイ
丁寧;テイネイ
素晴らしい;スバラシイ
政治;セイジ
毛;ケ
噛む;カム
怪我;ケガ
寄る;ヨル
伺う;ウカガウ
泊まる;トマル
休み;ヤスミ
歴史;レキシ
踏む;フム
叱る;シカル
米;ベイ
星;ホシ
交通;コウツウ
畳;タタミ
遠く;トオク
遊び;アソビ
太る;フトル
軒;ケン
たがる;タガル
訪ねる;タズネル
草;クサ
漫画;マンガ
入院;ニュウイン
移る;ウツル
成る可く;ナルベク
固い;カタイ
以内;イナイ
雲;クモ
遠慮;エンリョ
塵;ゴミ
宅;タク
教育;キョウイク
道具;ドウグ
治る;ナオル
小説;ショウセツ
葉;ハ
空港;クウコウ
昼間;ヒルマ
てく;テク
留守;ルス
季節;キセツ
止む;ヤム
間違える;マチガエル
濡れる;ヌレル
プレゼント;プレゼント
経済;ケイザイ
申し上げる;モウシアゲル
汚れる;ヨゴレル
投げる;ナゲル
出発;シュッパツ
真ん中;マンナカ
田舎;イナカ
機械;キカイ
試合;シアイ
祖母;ソボ
謝る;アヤマル
法律;ホウリツ
吊る;ツル
大分;ダイブ
予約;ヨヤク
揺れる;ユレル
工場;コウジョウ
味噌;ミソ
褒める;ホメル
今夜;コンヤ
文化;ブンカ
着物;キモノ
届ける;トドケル
人形;ニンギョウ
拾う;ヒロウ
騒ぐ;サワグ
親切;シンセツ
スーツ;スーツ
込む;コム
盗む;ヌスム
枝;エダ
手伝う;テツダウ
滑る;スベル
踊る;オドル
壊す;コワス
アルバイト;アルバイト
部長;ブチョウ
糸;イト
店員;テンイン
コンピューター;コンピューター
習慣;シュウカン
土産;ミヤゲ
湖;ミズウミ
乾く;カワク
ガス;ガス
祝い;イワイ
複雑;フクザツ
祖父;ソフ
柔らかい;ヤワラカイ
金持ち;カネモチ
ケーキ;ケーキ
祈る;イノル
品物;シナモノ
嬢;ジョウ
到頭;トウトウ
隅;スミ
台風;タイフウ
建て;ダテ
出席;シュッセキ
下りる;オリル
間に合う;マニアウ
此の頃;コノゴロ
下着;シタギ
会場;カイジョウ
受け付け;ウケツケ
教会;キョウカイ
正月;ショウガツ
国際;コクサイ
パパ;パパ
砂;スナ
髭;ヒゲ
棚;タナ
神社;ジンジャ
片付ける;カタヅケル
会議;カイギ
アジア;アジア
飾る;カザル
玩具;オモチャ
招待;ショウタイ
科学;カガク
焼ける;ヤケル
海岸;カイガン
ガソリン;ガソリン
旅館;リョカン
カーテン;カーテン
林;リン
ピアノ;ピアノ
見舞い;ミマイ
折れる;オレル
中止;チュウシ
オーバー;オーバー
入学;ニュウガク
引っ越す;ヒッコス
割れる;ワレル
規則;キソク
熱心;ネッシン
指輪;ユビワ
市民;シミン
直る;ナオル
港;ミナト
浅い;アサイ
割合;ワリアイ
支度;シタク
アルコール;アルコール
赤ん坊;アカンボウ
見物;ケンブツ
故障;コショウ
馳走;チソウ
折る;オル
課長;カチョウ
坂;サカ
空しい;ムナシイ
眠い;ネムイ
差し上げる;サシアゲル
用事;ヨウジ
発音;ハツオン
不便;フベン
輸入;ユニュウ
足す;タス
泥棒;ドロボウ
冷える;ヒエル
苛める;イジメル
文学;ブンガク
景色;ケシキ
地震;ジシン
人口;ジンコウ
捕まえる;ツカマエル
日記;ニッキ
盛ん;サカン
西洋;セイヨウ
サラダ;サラダ
取り替える;トリカエル
植える;ウエル
テキスト;テキスト
注射;チュウシャ
校長;コウチョウ
電灯;デントウ
乗り換える;ノリカエル
暮れる;クレル
生産;セイサン
コンサート;コンサート
医学;イガク
レジ;レジ
おや;オヤ
退院;タイイン
些とも;チットモ
翻訳;ホンヤク
アナウンサー;アナウンサー
スクリーン;スクリーン
家内;カナイ
テニス;テニス
苦い;ニガイ
火事;カジ
手袋;テブクロ
数学;スウガク
